,frequency,percentage
klm,1636,2.3806424144638344e-06
bv,1905,2.7720805620743306e-06
wtc,1570,2.2846018280612595e-06
tsh,2030,2.953975612079208e-06
lr,2083,3.031099113281276e-06
tg,1765,2.568358106068868e-06
vml,1380,2.0081213520538457e-06
jfj,1503,2.187106081258645e-06
tk,1956,2.8462937424763206e-06
rgb,1714,2.494144925666878e-06
bbw,1351,1.965921700452714e-06
mh,2009,2.9234172436783885e-06
phd,2282,3.320676032889041e-06
skv,10173,1.4803346749596937e-05
bsf,1578,2.2962431112615713e-06
ntp,1457,2.1201687028568503e-06
pd,4060,5.907951224158416e-06
fw,1635,2.3791872540637957e-06
bw,2068,3.0092717072806907e-06
lng,1710,2.488324284066722e-06
khz,1280,1.862605312049944e-06
bn,1793,2.6091025972699606e-06
hdd,1528,2.2234850912596205e-06
csx,1312,1.9091704448511925e-06
wwf,1525,2.2191196100595035e-06
fgp,1349,1.9630113796526363e-06
nfr,1651,2.4024698204644198e-06
pv,1627,2.3675459708634835e-06
rg,2272,3.3061244288886503e-06
ws,1734,2.5232481336676583e-06
flg,1929,2.807004411675267e-06
cb,1563,2.274415705260986e-06
dnf,1454,2.1158032216567333e-06
rb,2043,2.9728926972797153e-06
mrs,2633,3.8314373333027364e-06
sps,1829,2.661488371671365e-06
hg,1384,2.013941993654002e-06
cfs,1340,1.949914936052285e-06
tsv,1458,2.1216238632568894e-06
rm,2037,2.964161734879481e-06
fck,1468,2.1361754672572795e-06
lh,2221,3.2319112484866603e-06
ntl,1620,2.3573598480632104e-06
wb,2295,3.339593118089548e-06
ssd,1537,2.236581534859972e-06
ct,1988,2.892858875277569e-06
shr,3904,5.680946201752329e-06
dh,7586,1.1038846794695995e-05
frk,2643,3.845988937303126e-06
gpr,1416,2.0605071264552504e-06
rpg,1381,2.009576512453885e-06
bbb,2605,3.7906928421016436e-06
jsf,1293,1.881522397250451e-06
cx,1304,1.8975291616508803e-06
jvc,1283,1.866970793250061e-06
wm,2694,3.920202117705116e-06
ppm,1527,2.2220299308595813e-06
zw,2629,3.82561669170258e-06
mfk,1603,2.3326221212625468e-06
tts,1268,1.8451433872494756e-06
mfl,1486,2.162368354457982e-06
psv,1364,1.9848387856532217e-06
fvn,1332,1.9382736528519727e-06
dnv,1841,2.6789502964718336e-06
tmc,1388,2.019762635254158e-06
gd,2069,3.0107268676807294e-06
cms,1306,1.9004394824509583e-06
ltr,1149,1.6719792996448324e-06
dsb,1236,1.798578254448227e-06
nsr,1518,2.2089334872592304e-06
nth,1345,1.95719073805248e-06
ppj,1118,1.6268693272436228e-06
ftp,1773,2.57999938926918e-06
bg,1879,2.734246391673316e-06
gwh,1085,1.5788490340423352e-06
wrc,1296,1.8858878784505683e-06
nsk,2636,3.835802814502853e-06
ccm,1107,1.6108625628431936e-06
ww,2689,3.912926315704921e-06
ln,6415,9.334853966250304e-06
lk,1940,2.823011176075696e-06
dsl,1943,2.827376657275813e-06
vh,2814,4.094821365709799e-06
tz,2459,3.578239423695947e-06
jpl,1068,1.554111307241672e-06
nmk,1088,1.5832145152424523e-06
slr,1317,1.9164462468513878e-06
btg,1034,1.5046358536403454e-06
btv,1320,1.9208117280515048e-06
vc,1464,2.1303548256571234e-06
sdr,1493,2.172554477258255e-06
tnt,1159,1.6865309036452227e-06
gmt,1038,1.5104564952405015e-06
snd,1260,1.8335021040491636e-06
htp,1207,1.7563786028470955e-06
skt,1217,1.7709302068474856e-06
hht,1026,1.4929945704400331e-06
mld,1017,1.479898126839682e-06
hdt,1384,2.013941993654002e-06
kpk,1028,1.4959048912401112e-06
tp,1627,2.3675459708634835e-06
cnr,1066,1.551200986441594e-06
jbl,1072,1.559931948841828e-06
stv,1164,1.6938067056454178e-06
bmg,1050,1.5279184200409696e-06
cg,1923,2.798273449275033e-06
xht,1025,1.4915394100399942e-06
nkf,1293,1.881522397250451e-06
kt,1766,2.569813266468907e-06
pj,4939,7.1870372157927135e-06
tx,1698,2.4708623592662537e-06
csk,1621,2.358815008463249e-06
mrl,1049,1.5264632596409305e-06
fcs,946,1.3765817384369116e-06
bbs,1015,1.476987806039604e-06
tft,1403,2.0415900412547433e-06
mpx,1116,1.6239590064435448e-06
lms,1240,1.8043988960483832e-06
fmr,1550,2.255498620060479e-06
zx,955,1.3896781820372627e-06
fsx,924,1.3445682096360533e-06
dpt,938,1.3649404552365995e-06
xv,2260,3.2886625040881824e-06
bfs,998,1.4522500792389407e-06
fvm,1304,1.8975291616508803e-06
dnr,1195,1.7389166780466274e-06
nbc,1131,1.6457864124441301e-06
hrs,1006,1.4638913624392527e-06
shl,1082,1.5744835528422182e-06
njf,1265,1.8407779060493586e-06
mcm,1984,2.887038233677413e-06
dps,1031,1.5002703724402282e-06
fhm,1074,1.5628422696419061e-06
jj,1083,1.5759387132422573e-06
jm,1102,1.6035867608429986e-06
kgb,1306,1.9004394824509583e-06
rl,4244,6.1757007377655954e-06
nlp,984,1.4318778336383943e-06
pvm,850,1.236886340033166e-06
krd,995,1.4478845980388235e-06
lm,1882,2.738611872873433e-06
vlc,1238,1.8014885752483052e-06
bjj,925,1.3460233700360923e-06
xxl,931,1.3547543324363264e-06
sbs,985,1.4333329940384334e-06
nvh,877,1.2761756708342195e-06
fh,2077,3.0223681508810417e-06
ngk,843,1.2267002172328926e-06
ssh,1170,1.7025376680456517e-06
mhm,974,1.4173262296380042e-06
nfl,1181,1.718544432446081e-06
pvc,1074,1.5628422696419061e-06
smb,1590,2.3137050360620397e-06
rk,1969,2.8652108276768277e-06
hbk,946,1.3765817384369116e-06
lf,1677,2.4403039908654343e-06
nbk,1002,1.4580707208390966e-06
kns,880,1.2805411520343364e-06
src,1206,1.7549234424470566e-06
tgs,1003,1.4595258812391358e-06
np,1916,2.78808732647476e-06
std,994,1.4464294376387846e-06
nf,3111,4.5270040045213875e-06
bhg,839,1.2208795756327367e-06
hw,1617,2.3529943668630934e-06
nz,866,1.2601689064337902e-06
vb,1801,2.620743880470273e-06
rh,12756,1.8562026062897723e-05
jk,1300,1.8917085200507244e-06
gx,836,1.2165140944326195e-06
pdr,798,1.1612179992311368e-06
crm,1029,1.4973600516401501e-06
mhp,780,1.1350251120304345e-06
cnc,983,1.4304226732383554e-06
cj,843,1.2267002172328926e-06
krg,804,1.169948961631371e-06
ntv,889,1.2936375956346876e-06
nw,1916,2.78808732647476e-06
vf,1082,1.5744835528422182e-06
bhk,938,1.3649404552365995e-06
vgb,1269,1.8465985476495148e-06
ffs,959,1.3954988236374189e-06
prp,1214,1.7665647256473686e-06
bdp,1300,1.8917085200507244e-06
ktm,806,1.172859282431449e-06
cbs,832,1.2106934528324636e-06
